Event	ID	Name			Wwise Object Path	Notes
	128625444	Door_Close			\Default Work Unit\Objects\Door\Door_Close	
	535830432	Door_Open			\Default Work Unit\Objects\Door\Door_Open	
	674522502	Land			\Default Work Unit\Main Character\Land	
	856508550	Impacts_Metal			\Default Work Unit\Objects\Gun\Bullets\Impacts_Metal	
	1287408361	Gunshot			\Default Work Unit\Objects\Gun\Bullets\Gunshot	
	1334931201	Time_Slow_Down			\Default Work Unit\Objects\Time Effect\Time_Slow_Down	
	1596305413	Empty_Trigger			\Default Work Unit\Objects\Gun\Bullets\Empty_Trigger	
	1707141479	Ladder_Climb			\Default Work Unit\Main Character\Ladder_Climb	
	1957821939	Growls			\Default Work Unit\Zombies\Growls	
	2133470015	Rubble_Falling			\Default Work Unit\Objects\Structure Weak Point\Rubble_Falling	
	3093623238	Squishing			\Default Work Unit\Zombies\Squishing	
	3206236323	Health_Pick_Up			\Default Work Unit\Objects\Health Object\Health_Pick_Up	
	3236087554	Time_Speed_Up			\Default Work Unit\Objects\Time Effect\Time_Speed_Up	
	3358618626	Wood_Break			\Default Work Unit\Objects\Structure Weak Point\Wood_Break	
	3428649701	Window_Break			\Default Work Unit\Objects\Window\Window_Break	
	3779615487	Impacts_Zombie			\Default Work Unit\Objects\Gun\Bullets\Impacts_Zombie	
	3833651337	Jump			\Default Work Unit\Main Character\Jump	
	3907593247	Impacts_General			\Default Work Unit\Objects\Gun\Bullets\Impacts_General	
	3937699135	Music_Loop			\Default Work Unit\Music\Music_Loop	
	4253579710	Ammo_Pickup			\Default Work Unit\Objects\Gun\Bullets\Ammo_Pickup	

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	8528424	Impact Zombie 1	C:\Users\Paul\Documents\Unity\Video Games\Miasmaclysm\Dropped-master\Dropped\Wwise_Dropped\.cache\Windows\SFX\bullet impact zombie_01_9E69E797.wem		\Actor-Mixer Hierarchy\Default Work Unit\Objects\Gun\Bullets\Impacts\Impact Zombie\Impact Zombie 1		96064
	13147857	Growl 3	C:\Users\Paul\Documents\Unity\Video Games\Miasmaclysm\Dropped-master\Dropped\Wwise_Dropped\.cache\Windows\SFX\zombie growl_03_9E69E797.wem		\Actor-Mixer Hierarchy\Default Work Unit\Zombies\Growls\Growl 3		324064
	13781964	Impact Metal 3	C:\Users\Paul\Documents\Unity\Video Games\Miasmaclysm\Dropped-master\Dropped\Wwise_Dropped\.cache\Windows\SFX\bullet impact metal_03_9E69E797.wem		\Actor-Mixer Hierarchy\Default Work Unit\Objects\Gun\Bullets\Impacts\Impact Metal\Impact Metal 3		192064
	39233883	Impact Zombie 4	C:\Users\Paul\Documents\Unity\Video Games\Miasmaclysm\Dropped-master\Dropped\Wwise_Dropped\.cache\Windows\SFX\bullet impact zombie_04_9E69E797.wem		\Actor-Mixer Hierarchy\Default Work Unit\Objects\Gun\Bullets\Impacts\Impact Zombie\Impact Zombie 4		110848
	44128839	Music Loop	C:\Users\Paul\Documents\Unity\Video Games\Miasmaclysm\Dropped-master\Dropped\Wwise_Dropped\.cache\Windows\SFX\bg01_v02_9E69E797.wem		\Actor-Mixer Hierarchy\Default Work Unit\Music\Music Loop		34560144
	58891772	Ammo Pickup	C:\Users\Paul\Documents\Unity\Video Games\Miasmaclysm\Dropped-master\Dropped\Wwise_Dropped\.cache\Windows\SFX\Ethan_AmmoBoxSound_9E69E797.wem		\Actor-Mixer Hierarchy\Default Work Unit\Objects\Gun\Bullets\Ammo\Ammo Pickup		124444
	69230979	Squish 4	C:\Users\Paul\Documents\Unity\Video Games\Miasmaclysm\Dropped-master\Dropped\Wwise_Dropped\.cache\Windows\SFX\squish_04_9E69E797.wem		\Actor-Mixer Hierarchy\Default Work Unit\Zombies\Squishing\Squish 4		180064
	72824129	Squish 8	C:\Users\Paul\Documents\Unity\Video Games\Miasmaclysm\Dropped-master\Dropped\Wwise_Dropped\.cache\Windows\SFX\squish_08_9E69E797.wem		\Actor-Mixer Hierarchy\Default Work Unit\Zombies\Squishing\Squish 8		144064
	77477427	Impact Metal 4	C:\Users\Paul\Documents\Unity\Video Games\Miasmaclysm\Dropped-master\Dropped\Wwise_Dropped\.cache\Windows\SFX\bullet impact metal_04_9E69E797.wem		\Actor-Mixer Hierarchy\Default Work Unit\Objects\Gun\Bullets\Impacts\Impact Metal\Impact Metal 4		192064
	123920512	Impact Zombie 2	C:\Users\Paul\Documents\Unity\Video Games\Miasmaclysm\Dropped-master\Dropped\Wwise_Dropped\.cache\Windows\SFX\bullet impact zombie_02_9E69E797.wem		\Actor-Mixer Hierarchy\Default Work Unit\Objects\Gun\Bullets\Impacts\Impact Zombie\Impact Zombie 2		84408
